Year,Name,team,salary,bloodType,height,weight,UniformNum,position,Games,AtBats,Hit,HR,Win,Lose,Save,Hold
2011年度,矢野　謙次,Giants,2700,O型,178,81,48,外野手,53,107,27,1,NA,NA,NA,NA
2011年度,金刃　憲人,Giants,2300,B型,176,80,28,投手,24,NA,NA,NA,2,4,0,0
2011年度,紺田　敏正,Giants,1900,A型,185,77,44,外野手,21,38,11,0,NA,NA,NA,NA
2011年度,野間口　貴彦,Giants,1600,A型,183,84,45,投手,12,NA,NA,NA,1,0,0,3
2011年度,福田　聡志,Giants,1500,O型,180,76,59,投手,6,NA,NA,NA,0,1,0,0
2011年度,寺内　崇幸,Giants,1500,B型,177,71,00,内野手,73,107,19,0,NA,NA,NA,NA
2011年度,澤村　拓一,Giants,1500,A型,184,90,15,投手,29,NA,NA,NA,11,11,0,0
2011年度,星野　真澄,Giants,1300,A型,181,72,95,投手,3,NA,NA,NA,0,0,0,0
2011年度,加藤　健,Giants,1200,A型,186,90,40,捕手,21,33,5,1,NA,NA,NA,NA
2011年度,實松　一成,Giants,1100,A型,177,81,53,捕手,20,22,6,2,NA,NA,NA,NA
2011年度,加治前　竜一,Giants,1050,A型,175,78,50,外野手,6,9,2,0,NA,NA,NA,NA
2011年度,大田　泰示,Giants,1000,O型,188,91,55,内野手,12,26,4,0,NA,NA,NA,NA
2011年度,田中　大二郎,Giants,790,A型,179,85,66,内野手,25,39,6,0,NA,NA,NA,NA
2011年度,中井　大介,Giants,780,B型,181,85,61,内野手,2,2,0,0,NA,NA,NA,NA
2011年度,隠善　智也,Giants,780,O型,174,77,69,外野手,3,1,0,0,NA,NA,NA,NA
2011年度,小野　淳平,Giants,780,B型,178,81,60,投手,14,NA,NA,NA,2,2,0,0
2011年度,円谷　英俊,Giants,750,B型,181,78,52,内野手,13,17,2,0,NA,NA,NA,NA
2011年度,橋本　到,Giants,720,O型,172,72,65,外野手,33,26,5,0,NA,NA,NA,NA
2011年度,小山　雄輝,Giants,720,O型,187,77,94,投手,3,NA,NA,NA,0,0,0,0
2011年度,藤村　大介,Giants,640,AB型,173,73,54,内野手,119,352,78,0,NA,NA,NA,NA
2011年度,ロメロ,Giants,490,不明,196,84,39,投手,41,NA,NA,NA,1,3,11,8
2011年度,岩瀬　仁紀,Dragons,43000,AB型,181,85,13,投手,56,NA,NA,NA,0,1,37,7
2011年度,和田　一浩,Dragons,40000,O型,182,90,5,外野手,131,444,103,12,NA,NA,NA,NA
2011年度,森野　将彦,Dragons,22500,AB型,180,85,30,内野手,142,508,118,10,NA,NA,NA,NA
2011年度,荒木　雅博,Dragons,20000,A型,180,74,2,内野手,135,543,143,2,NA,NA,NA,NA
2011年度,井端　弘和,Dragons,18000,B型,173,75,6,内野手,104,376,88,1,NA,NA,NA,NA
2011年度,チェン,Dragons,17000,O型,182,80,21,投手,25,NA,NA,NA,8,10,0,0
2011年度,谷繁　元信,Dragons,17000,A型,176,81,27,捕手,102,277,71,6,NA,NA,NA,NA
