Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
寺島　成輝,Swallows,880,投手,4,183,90,O型,左,左,大阪,1998-07-30,18,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.48,1,0,0,3,1,163,36.1,41,5,15,1,27,14,10,1.54,4.66
石川　雅規,Swallows,10500,投手,19,167,73,A型,左,左,秋田,1980-01-22,19,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.48,2,8,0,0,0.2,331,76.1,85,7,19,2,41,40,38,1.36,3.98
近藤　一樹,Swallows,6700,投手,19,183,80,A型,右,右,神奈川,1983-07-08,20,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.74,0,1,1,2,0,81,19,21,4,6,0,11,13,10,1.42,5.65
青木　宣親,Swallows,34000,外野手,11,175,80,A型,右,左,宮崎,1982-01-05,23,0.317,107,425,357,113,18,51,2,62,5,51,0,6,0.424,0.557,0.981,8.87,8.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
星　知弥,Swallows,1500,投手,4,183,78,O型,右,右,栃木,1994-04-15,24,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25,0,1,0,3,0,216,48,57,7,24,1,40,28,28,1.69,4.91
イノーア,Swallows,6540,投手,1,188,93,不明,右,右,ドミニカ共和国,1993-05-26,25,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.13,0,3,0,0,0,125,24,45,8,10,0,15,29,27,2.29,7.45
坂本　光士郎,Swallows,1000,投手,2,179,75,B型,左,左,広島,1994-09-09,26,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,0,0,0,0,19,3,5,1,4,1,3,6,4,3,10.45
吉田　大喜,Swallows,1200,投手,1,175,83,O型,右,右,大阪,1997-07-27,28,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.21,2,7,0,0,0.222,308,67.1,80,10,34,0,53,40,39,1.69,4.9
小川　泰弘,Swallows,9000,投手,8,171,80,A型,右,右,愛知,1990-05-16,29,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.61,10,8,0,0,0.556,515,119,132,20,29,2,83,64,61,1.35,4.67
西田　明央,Swallows,1500,捕手,10,178,83,AB型,右,右,京都,1992-04-28,30,0.232,69,215,190,44,7,20,0,20,3,48,1,4,0.313,0.368,0.682,3.84,3.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
